UI/GameTitle,Solar Mission EST,Solar Mission EST,Solar Mission EST
SST/StartTarget3,Really?%But& I have an appointment with some colleagues for... studying.,Really?%But& I have an appointment with some colleagues for... studying.,Really?%But& I have an appointment with some colleagues for... studying.
SST/StartTarget4,Good scientist!%So& you better hurry up!,Good scientist!%So& you better hurry up!,Good scientist!%So& you better hurry up!
SST/FirstEnemy0,The @atmospheric turbulence| does not allow us to distinguish those microwave ovens clearly. We see them moving all the time!%Don't waste your time with them& Eclipse. Only @adaptive optics| can correct the distortions.,The atmospheric turbulence does not allow us to distinguish those microwave ovens clearly. We see them moving all the time!%Don't waste your time with them& Eclipse. Only adaptive optics can correct the distortions.,The @atmospheric turbulence| does not allow us to distinguish those microwave ovens clearly. We see them moving all the time!%Don't waste your time with them& Eclipse. Only @adaptive optics| can correct the distortions.
SST/InsideSST0,Mayday! Things are getting hot there!%The machines have sabotaged the vacuum and refrigeration systems& which prevent the telescope from being @heated by sunlight|.%Restore them before the instruments get roasted!,Mayday! Things are getting hot there!%The machines have sabotaged the vacuum and refrigeration systems& which prevent the telescope from being heated by sunlight.%Restore them before the instruments get roasted!,Mayday! Things are getting hot there!%The machines have sabotaged the vacuum and refrigeration systems& which prevent the telescope from being @heated by sunlight|.%Restore them before the instruments get roasted!
SST/PumpSuccess0,Good job& Eclipse!%@The Swedish Solar Telescope| is working again!,Good job& Eclipse!%The Swedish Solar Telescope is working again!,Good job& Eclipse!%@The Swedish Solar Telescope| is working again!
SST/PumpSuccess1,Oh& by the way! You are an expert on @adaptive optics|& aren’t you?%I'm finding it very hard to install it at @EST|. Can you help me?%Remember to bring an instruction manual!,Oh& by the way! You are an expert on adaptive optics& aren’t you?%I'm finding it very hard to install it at EST. Can you help me?%Remember to bring an instruction manual!,Oh& by the way! You are an expert on @adaptive optics|& aren’t you?%I'm finding it very hard to install it at @EST|. Can you help me?%Remember to bring an instruction manual!
SST/PumpSuccess2,Sure& Spectro!,Sure& Spectro!,Sure& Spectro!
SST/PumpSuccess3,Goodness me! I don't even remember what @adaptive optics| is for... (too many nights $studying$ at the observatory residence).%I'll ask Ms. Prominence for help before Spectro withdraws my allowance!,Goodness me! I don't even remember what adaptive optics is for... (too many nights $studying$ at the observatory residence).%I'll ask Ms. Prominence for help before Spectro withdraws my allowance!,Goodness me! I don't even remember what @adaptive optics| is for... (too many nights $studying$ at the observatory residence).%I'll ask Ms. Prominence for help before Spectro withdraws my allowance!
SST/CallMSProminence0,Bonjour ma chérie!%Are you having a good time at the observatory?%What can I do for you?,Bonjour ma chérie!%Are you having a good time at the observatory?%What can I do for you?,Bonjour ma chérie!%Are you having a good time at the observatory?%What can I do for you?
SST/CallMSProminence1,Yeah! A lot of fun. But... I can't remember how @adaptive optics| work.... %Do you have detailed documentation at @Pic Du Midi Observatory|?,Yeah! A lot of fun. But... I can't remember how adaptive optics work.... %Do you have detailed documentation at Pic Du Midi Observatory?,Yeah! A lot of fun. But... I can't remember how @adaptive optics| work.... %Do you have detailed documentation at @Pic Du Midi Observatory|?
SST/CallMSProminence2,Of course& chérie.% I'll see what I can find in the archives.,Of course& chérie.% I'll see what I can find in the archives.,Of course& chérie.% I'll see what I can find in the archives.
SST/ArchivePicduMidi0,I found the documents in the archive!%There you are! ,I found the documents in the archive!%There you are! ,I found the documents in the archive!%There you are! 
SST/ArchivePicduMidi1,Yeah! Thanks!%You rock& Ms. Prominence!,Yeah! Thanks!%You rock& Ms. Prominence!,Yeah! Thanks!%You rock& Ms. Prominence!
SST/NeedHelp0,Bad news again& Eclipse!%The machines have torn the @adaptive optics system| to pieces around the observatory.%Recover all the parts!,Bad news again& Eclipse!%The machines have torn the adaptive optics system to pieces around the observatory.%Recover all the parts!,Bad news again& Eclipse!%The machines have torn the @adaptive optics system| to pieces around the observatory.%Recover all the parts!
SST/NeedHelp1,Solar activity is increasing& and things are getting worse...%You'll need extra help.%We have a surprise for you. Go to the observing room to get it!,Solar activity is increasing& and things are getting worse...%You'll need extra help.%We have a surprise for you. Go to the observing room to get it!,Solar activity is increasing& and things are getting worse...%You'll need extra help.%We have a surprise for you. Go to the observing room to get it!
SST/NeedHelp2,We have a surprise for you& so please go to the observing room to get it!,We have a surprise for you& so please go to the observing room to get it!,We have a surprise for you& so please go to the observing room to get it!
SST/ObservingRoom0,This device produces small @solar magnetic fields|& creating a shield that repels the enemies' attacks.%It was supposed to be your PhD graduation gift...%Go outside and beat them!,This device produces small solar magnetic fields& creating a shield that repels the enemies' attacks.%It was supposed to be your PhD graduation gift...%Go outside and beat them!,This device produces small @solar magnetic fields|& creating a shield that repels the enemies' attacks.%It was supposed to be your PhD graduation gift...%Go outside and beat them!
SST/ObservingRoom1,On my way!,On my way!,On my way!
SST/GuitarSuccess0,Congratulations! You have all the pieces!%But the @adaptive optics system| might have been damaged.%Please test it at the @telescope|!,Congratulations! You have all the pieces!%But the adaptive optics system might have been damaged.%Please test it at the telescope!,Congratulations! You have all the pieces!%But the @adaptive optics system| might have been damaged.%Please test it at the @telescope|!
SST/EternalSuccess0,Incredible performance& Eclipse!%You deserve the highest marks!,Incredible performance& Eclipse!%You deserve the highest marks!,Incredible performance& Eclipse!%You deserve the highest marks!
SST/EternalSuccess1,With adaptive optics& @the atmosphere does not degrade your vision|.%Now you can clearly see those microwaves!%Deactivate them and bring the @adaptive optics| system to @EST| immediately.,With adaptive optics& the atmosphere does not degrade your vision.%Now you can clearly see those microwaves!%Deactivate them and bring the adaptive optics system to EST immediately.,With adaptive optics& @the atmosphere does not degrade your vision|.%Now you can clearly see those microwaves!%Deactivate them and bring the @adaptive optics| system to @EST| immediately.
SST/Books0,$End date of the Universe$,$End date of the Universe$,$End date of the Universe$
SST/Books1,$Side effects of solar energy$,$Side effects of solar energy$,$Side effects of solar energy$
SST/Books2,$Is the Sun inhabited?$,$Is the Sun inhabited?$,$Is the Sun inhabited?$
SST/BooksFail,Focus on the problem! This is not what I'm looking for.,Focus on the problem! This is not what I'm looking for.,Focus on the problem! This is not what I'm looking for.
SST/BetterFix,I better fix the vacuum and refrigeration system before.,I better fix the vacuum and refrigeration system before.,I better fix the vacuum and refrigeration system before.
SST/NoTimeToExplore,No time to explore!%I need to call Ms. Prominence right now!,No time to explore!%I need to call Ms. Prominence right now!,No time to explore!%I need to call Ms. Prominence right now!
Missions,I have a mission to accomplish.,I have a mission to accomplish.,I have a mission to accomplish.
Alert/FindCableCar,Find the way to the cable car station.,Find the way to the cable car station.,Find the way to the cable car station.
Alert/GetTornado,Obtained: Solar magnetic tornadoes,Obtained: Solar magnetic tornadoes,Obtained: Solar magnetic tornadoes
Alert/FindFuse,The solar storm has burned the fuse. Find a new one.,The solar storm has burned the fuse. Find a new one.,The solar storm has burned the fuse. Find a new one.
Alert/RepairEngine,You must repair the cable car engine to go up!,You must repair the cable car engine to go up!,You must repair the cable car engine to go up!
Alert/GetFuse,Obtained: Fuse,Obtained: Fuse,Obtained: Fuse
Alert/FixEngine,Engine is working again!,Engine is working again!,Engine is working again!
Alert/FixedEngineInteract,I can now use the cable car,I can now use the cable car,I can now use the cable car
Alert/HelpArchive,Go to the Archive and ask for help,Go to the Archive and ask for help,Go to the Archive and ask for help
Alert/Coat,Obtained: Coat,Obtained: Coat,Obtained: Coat
Alert/Glasses,Obtained: Glasses,Obtained: Glasses,Obtained: Glasses
Gregor/Mission_00,What a hot day! Definitely& a solar astronomer's job is quite hard.%This doesn't happen to a night astronomer...%I can't even see up close! The air is burning...,What a hot day! Definitely& a solar astronomer's job is quite hard.%This doesn't happen to a night astronomer...%I can't even see up close! The air is burning...,What a hot day! Definitely& a solar astronomer's job is quite hard.%This doesn't happen to a night astronomer...%I can't even see up close! The air is burning...
Gregor/Mission_01,Stop complaining& Spot!%Show what a solar @astronomer| is made of!,Stop complaining& Spot!%Show what a solar astronomer is made of!,Stop complaining& Spot!%Show what a solar @astronomer| is made of!
Gregor/Mission_02,But yes& the @excess of heat| blurs the images and makes it impossible to observe what is happening on the Sun.%We need you to go to the @GREGOR telescope| and test the @heat rejecter| for @EST|.,But yes& the excess of heating blurs the images and makes it impossible to observe what is happening on the Sun.%We need you to go to the GREGOR telescope and test the heat rejecter for EST.,But yes& the @excess of heat| blurs the images and makes it impossible to observe what is happening on the Sun.%We need you to go to the @GREGOR telescope| and test the @heat rejecter| for @EST|.
Gregor/Mission_03,OK& Spectro! (But first& I'm taking a glass of water...),OK& Spectro! (But first& I'm taking a glass of water...),OK& Spectro! (But first& I'm taking a glass of water...)
Gregor/HotAdvice_00,These ovens are too hot!%That’s a big problem for solar astronomers!%Until we find a way to cool them down& we can’t fight them.,These ovens are too hot!%That’s a big problem for solar astronomers!%Until we find a way to cool them down& we can’t fight them.,These ovens are too hot!%That’s a big problem for solar astronomers!%Until we find a way to cool them down& we can’t fight them.
Gregor/OvenAdvice_00,Oh no! I’m burned out by those machines!%We can't operate @GREGOR| in such conditions!,Oh no! I’m burned out by those machines!%We can't operate GREGOR in such conditions!,Oh no! I’m burned out by those machines!%We can't operate @GREGOR| in such conditions!
Gregor/OvenAdvice_01,Spot& we need you to do some maintenance work.%The bushes surrounding the tower help reduce the temperature of the telescope.,Spot& we need you to do some maintenance work.%The bushes surrounding the tower help reduce the temperature of the telescope.,Spot& we need you to do some maintenance work.%The bushes surrounding the tower help reduce the temperature of the telescope.
Gregor/OvenAdvice_02,But the machines wreaked havok on them...%You have to restore the bushes!%Did I tell you to bring a pair of shears...?,But the machines wreaked havok on them...%You have to restore the bushes!%Did I tell you to bring a pair of shears...?,But the machines wreaked havok on them...%You have to restore the bushes!%Did I tell you to bring a pair of shears...?
Gregor/OvenAdvice_03,Copy that& Spectro!%(Galaxies... why didn't I study galaxies...?)  ,Copy that& Spectro!%(Galaxies... why didn't I study galaxies...?)  ,Copy that& Spectro!%(Galaxies... why didn't I study galaxies...?)  
Gregor/CleanGarden_00,Good job& Spot!%I'll hire you to clean my garden.%Now& look at the tower! What a disaster!,Good job& Spot!%I'll hire you to clean my garden.%Now& look at the tower! What a disaster!,Good job& Spot!%I'll hire you to clean my garden.%Now& look at the tower! What a disaster!
Gregor/CleanGarden_01,Solar telescopes are white to reflect the sunlight.%The machines have painted @GREGOR| in black so the temperature is increasing! You have to turn it into white again!,Solar telescopes are white to reflect the sunlight.%The machines have painted GREGOR in black so the temperature is increasing! You have to turn it into white again!,Solar telescopes are white to reflect the sunlight.%The machines have painted @GREGOR| in black so the temperature is increasing! You have to turn it into white again!
Gregor/CleanGarden_02,Did I tell you to bring the paintbrush...?,Did I tell you to bring the paintbrush...?,Did I tell you to bring the paintbrush...?
Gregor/CleanGarden_03,Sure& Spectro.%(Black holes... black holes were also interesting objects...) ,Sure& Spectro.%(Black holes... black holes were also interesting objects...) ,Sure& Spectro.%(Black holes... black holes were also interesting objects...) 
Gregor/PaintSolved,Well done!%Now enter @GREGOR| and find the @heat rejecter|!,Well done!%Now enter GREGOR and find the heat rejecter!,Well done!%Now enter @GREGOR| and find the @heat rejecter|!
Gregor/BlockDoor_00,Oh no!!! It’s blocked!!!%Seriously??? What else???,Oh no!!! It’s blocked!!!%Seriously??? What else???,Oh no!!! It’s blocked!!!%Seriously??? What else???
Gregor/BlockDoor_01,Calm down& Spot.%The neighbouring telescope& the @Vacuum Tower Telescope|& is connected to @GREGOR| by underground tunnels.%You can sneak into the telescope and get the piece that we need!,Calm down& Spot.%The neighbouring telescope& the Vacuum Tower Telescope& is connected with GREGOR by underground tunnels.%You can sneak into the telescope and get the piece that we need!,Calm down& Spot.%The neighbouring telescope& the @Vacuum Tower Telescope|& is connected to @GREGOR| by underground tunnels.%You can sneak into the telescope and get the piece that we need!
Gregor/FindHRParts_00,Our cameras have detected that the @heat rejecter| has been taken apart.%Find all the parts and assemble it again!,Our cameras have detected that the heat rejecter has been taken apart.%Find all the parts and assemble it again!,Our cameras have detected that the @heat rejecter| has been taken apart.%Find all the parts and assemble it again!
Gregor/FindHRParts_01,Did I tell you to bring the toolbox?,Did I tell you to bring the toolbox?,Did I tell you to bring the toolbox?
Gregor/GetSkill,Congratulations& Spot!%This jetpack can generate small @solar spicules|.%Just like it happens on the Sun& the gas jets will propel you far and high!,Congratulations& Spot!%This jetpack can generate small Solar Spicules.%Just like it happens on the Sun& the gas jets will propel you far and high!,Congratulations& Spot!%This jetpack can generate small @solar spicules|.%Just like it happens on the Sun& the gas jets will propel you far and high!
Gregor/FoundAllParts_00,Great!%You finally have the @heat rejecter|!,Great!%You finally have the heat rejecter!,Great!%You finally have the @heat rejecter|!
Gregor/FoundAllParts_01,Now& make sure the system works ok& or we could fry our instruments during an observation!%If you need assistance& Flare could help you to calibrate the @heat rejecter|.,Now& make sure the system works ok& or we could fry our instruments during an observation!%If you need assistance& Flare could help you to calibrate the heat rejecter.,Now& make sure the system works ok& or we could fry our instruments during an observation!%If you need assistance& Flare could help you to calibrate the @heat rejecter|.
Gregor/FoundAllParts_02,Thank you& Spectro!%I’ll call her.,Thank you& Spectro!%I’ll call her.,Thank you& Spectro!%I’ll call her.
Gregor/FlareCall_00,Hello Flare!%I had to assemble the @heat rejecter|& and now I need to calibrate it.%Can you help me to find the right parameters?,Hello Flare!%I had to assemble the heat rejecter& and now I need to calibrate it.%Can you help me to find the right parameters?,Hello Flare!%I had to assemble the @heat rejecter|& and now I need to calibrate it.%Can you help me to find the right parameters?
Gregor/FlareCall_01,Of course& Spot!%Let me do some tests in the lab!,Of course& Spot!%Let me do some tests in the lab!,Of course& Spot!%Let me do some tests in the lab!
Gregor/TestHR,I can test the heat rejecter using the computer.,I can test the heat rejecter using the computer.,I can test the heat rejecter using the computer.
Gregor/FixedHR_00,Test completed& Spot!%These are the values needed to operate the @heat rejecter|!,Test completed& Spot!%These are the values needed operate the heat rejecter!,Test completed& Spot!%These are the values needed to operate the @heat rejecter|!
Gregor/FixedHR_01,Thank you& Flare!%You are the coolest!,Thank you& Flare!%You are the coolest!,Thank you& Flare!%You are the coolest!
Gregor/FixedHR_02,No time for compliments& everyone! The @GREGOR| dome is opening!%Without a @heat rejecter|& the whole telescope could be ruined by the heating. Hurry up and install it before it’s too late!,No time for compliments& everyone! The GREGOR dome is opening!%Without a heat rejecter& the whole telescope could be ruined by the heating. Hurry up and install it before it’s too late!,No time for compliments& everyone! The @GREGOR| dome is opening!%Without a @heat rejecter|& the whole telescope could be ruined by the heating. Hurry up and install it before it’s too late!
Gregor/FixedHR_03,Did I tell you to bring a @heat rejecter|? ,Did I tell you to bring a heat rejecter? ,Did I tell you to bring a @heat rejecter|? 
Gregor/PlacedHR_Success,Great!%You saved GREGOR!%Your heat rejecter is ready for EST. ,Great!%You saved GREGOR!%Your heat rejecter is ready for EST. ,Great!%You saved GREGOR!%Your heat rejecter is ready for EST. 
Gregor/PlacedHR_01_Fail,Boom!%Your instruments have melted. You have to return your funding. Try again.,Boom!%Your instruments have melted. You have to return your funding. Try again.,Boom!%Your instruments have melted. You have to return your funding. Try again.
Gregor/Got_HR_00,Awesome! Now bring the @heat rejecter| immediately to @EST|.%With it& we will be able to point to the Sun and have clear views of what is happening there.,Awesome! Now bring the heat rejecter immediately to EST.%With it& we will be able to point to the Sun and have clear views of what is happening there.,Awesome! Now bring the @heat rejecter| immediately to @EST|.%With it& we will be able to point to the Sun and have clear views of what is happening there.
Gregor/Got_HR_01,And remember& if you find those strange ovens in your way& you can use the heat rejecter to cool and deactivate them!%Go!,And remember& if you find those strange ovens in your way& you can use the heat rejecter to cool and deactivate them!%Go!,And remember& if you find those strange ovens in your way& you can use the heat rejecter to cool and deactivate them!%Go!
EST/Intro_00,Spectro!%The machines have locked us in a room.%Where are you?!,Spectro!%The machines have locked us in a room.%Where are you?!,Spectro!%The machines have locked us in a room.%Where are you?!
EST/Intro_01,Don't worry my friends&I'll free you in a minute!,Don't worry my friends&I'll free you in a minute!,Don't worry my friends&I'll free you in a minute!
EST/Intro_02,There is no time& Spectro.%We need to turn @EST| on immediately.%We will be here and ready to observe.%But you are on your own! Come in the telescope as quickly as you can!,There is no time& Spectro.%We need to turn EST on immediately.%We will be here and ready to observe.%But you are on your own! Come in the telescope as quickly as you can!,There is no time& Spectro.%We need to turn @EST| on immediately.%We will be here and ready to observe.%But you are on your own! Come in the telescope as quickly as you can!
EST/Intro_03,Okay!%How bad can bunch of lamps and toasters be...?,Okay!%How bad can bunch of lamps and toasters be...?,Okay!%How bad can bunch of lamps and toasters be...?
EST/Ops_00,Ops...%I better hurry up and watch my steps...,Ops...%I better hurry up and watch my steps...,Ops...%I better hurry up and watch my steps...
EST/First,First of all& you have to turn the generator on!,First of all& you have to turn the generator on!,First of all& you have to turn the generator on!
EST/First01,To avoid vibrations& the generator is located far from the telescope& in the basement.%Hurry up!,To avoid vibrations& the generator is located far from the telescope& in the basement.%Hurry up!,To avoid vibrations& the generator is located far from the telescope& in the basement.%Hurry up!
EST/Second_00,The generator is working!%What's next?,The generator is working!%What's next?,The generator is working!%What's next?
EST/Second_01,We have to control the @seeing conditions| to obtain sharp images.%Heating is one of our biggest problems!,We have to control the seeing conditions to obtain sharp images.%Heating is one of our biggest problems!,We have to control the @seeing conditions| to obtain sharp images.%Heating is one of our biggest problems!
EST/Second_02,Walk up the tower and open the dome.%The air will cool the telescope& avoiding image distortions!,Walk up the tower and open the dome.%The air will cool the telescope& avoiding image distortions!,Walk up the tower and open the dome.%The air will cool the telescope& avoiding image distortions!
EST/Third_00,Well done& Spectro.%Now& switch on the air systems that keep the @primary and the secondary mirrors| cool!,Well done& Spectro.%Now& switch on the air systems that keep the primary and the secondary mirrors cool!,Well done& Spectro.%Now& switch on the air systems that keep the @primary and the secondary mirrors| cool!
EST/Third_01,On my way!%(Too many stairs... I think that I won't renew my gym subscription this month),On my way!%(Too many stairs... I think that I won't renew my gym subscription this month),On my way!%(Too many stairs... I think that I won't renew my gym subscription this month)
EST/Fourth_00,You are fit as a fiddle& Spectro!%Now& we need you to refill the coolant of the @M3-M6 mirrors system|.,You are fit as a fiddle& Spectro!%Now& we need you to refill the coolant of the M3-M6 mirrors system.,You are fit as a fiddle& Spectro!%Now& we need you to refill the coolant of the @M3-M6 mirrors system|.
EST/Fourth_01,Sure!,Sure!,Sure!
EST/Fifth_00,We are almost done! But heating is not the only problem.%Please& calibrate the @adaptive optics| system to correct the distorsions caused by Earth's atmosphere.,We are almost done! But heating is not the only problem.%Please& calibrate the adaptive optics system to correct the distorsions caused by Earth's atmosphere.,We are almost done! But heating is not the only problem.%Please& calibrate the @adaptive optics| system to correct the distorsions caused by Earth's atmosphere.
EST/Fifth_01,It sounds easy if you don't have a giant robot attacking you& right...?,It sounds easy if you don't have a giant robot attacking you& right...?,It sounds easy if you don't have a giant robot attacking you& right...?
EST/Sixth_00,And last& but not least& activate the @heat rejecter| to avoid excessive heating from the sunlight!,And last& but not least& activate the heat rejecter to avoid excessive heating from the sunlight!,And last& but not least& activate the @heat rejecter| to avoid excessive heating from the sunlight!
EST/Sixth_01,Do I have to go upstairs again???%We'll have a serious conversation later about the workflow...,Do I have to go upstairs again???%We'll have a serious conversation later about the workflow...,Do I have to go upstairs again???%We'll have a serious conversation later about the workflow...
EST/Seventh_00,Amazing& Spectro!%The @seeing| is under control!%Ready to observe the Sun like never before?,Amazing& Spectro!%The seeing is under control!%Ready to observe the Sun like never before?,Amazing& Spectro!%The @seeing| is under control!%Ready to observe the Sun like never before?
EST/Seventh_01,Not so fast!%I see the machines are staining the @primary mirror|!%I need to clean it or all this work would be in vain!,Not so fast!%I see the machines are staining the primary mirror!%I need to clean it or all this work would be in vain!,Not so fast!%I see the machines are staining the @primary mirror|!%I need to clean it or all this work would be in vain!
EST/PolishedMirror_00,All systems working& Spectro!%We are ready in the control room.%We only need to point @EST| towards the Sun...,All systems working& Spectro!%We are ready in the control room.%We only need to point EST towards the Sun...,All systems working& Spectro!%We are ready in the control room.%We only need to point @EST| towards the Sun...
EST/PolishedMirror_01,Roger that!%Finally& after decades of research& we are going to understand what happens in the Sun...,Roger that!%Finally& after decades of research& we are going to understand what happens in the Sun...,Roger that!%Finally& after decades of research& we are going to understand what happens in the Sun...
EST/OpenDome,I need to open the dome& time is running out!,I need to open the dome& time is running out!,I need to open the dome& time is running out!
